age,education,sex,relationship,marital-status,income
39,Bachelors,Male,Not-in-family,Never-married,<=50K
50,Bachelors,Male,Husband,Married-civ-spouse,<=50K
38,HS-grad,Male,Not-in-family,Divorced,<=50K
53,11th,Male,Husband,Married-civ-spouse,<=50K
28,Bachelors,Female,Wife,Married-civ-spouse,<=50K
37,Masters,Female,Wife,Married-civ-spouse,<=50K
49,9th,Female,Not-in-family,Married-spouse-absent,<=50K
52,HS-grad,Male,Husband,Married-civ-spouse,>50K
31,Masters,Female,Not-in-family,Never-married,>50K
42,Bachelors,Male,Husband,Married-civ-spouse,>50K
37,Some-college,Male,Husband,Married-civ-spouse,>50K
30,Bachelors,Male,Husband,Married-civ-spouse,>50K
23,Bachelors,Female,Own-child,Never-married,<=50K
32,Assoc-acdm,Male,Not-in-family,Never-married,<=50K
40,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
34,7th-8th,Male,Husband,Married-civ-spouse,<=50K
25,HS-grad,Male,Own-child,Never-married,<=50K
32,HS-grad,Male,Unmarried,Never-married,<=50K
38,11th,Male,Husband,Married-civ-spouse,<=50K
43,Masters,Female,Unmarried,Divorced,>50K
40,Doctorate,Male,Husband,Married-civ-spouse,>50K
54,HS-grad,Female,Unmarried,Separated,<=50K
35,9th,Male,Husband,Married-civ-spouse,<=50K
43,11th,Male,Husband,Married-civ-spouse,<=50K
59,HS-grad,Female,Unmarried,Divorced,<=50K
56,Bachelors,Male,Husband,Married-civ-spouse,>50K
19,HS-grad,Male,Own-child,Never-married,<=50K
54,Some-college,Male,Husband,Married-civ-spouse,>50K
39,HS-grad,Male,Not-in-family,Divorced,<=50K
49,HS-grad,Male,Husband,Married-civ-spouse,<=50K
23,Assoc-acdm,Male,Not-in-family,Never-married,<=50K
20,Some-college,Male,Own-child,Never-married,<=50K
45,Bachelors,Male,Own-child,Divorced,<=50K
30,Some-college,Male,Own-child,Married-civ-spouse,<=50K
22,Some-college,Male,Husband,Married-civ-spouse,<=50K
48,11th,Male,Unmarried,Never-married,<=50K
21,Some-college,Male,Own-child,Never-married,<=50K
19,HS-grad,Female,Wife,Married-AF-spouse,<=50K
31,Some-college,Male,Husband,Married-civ-spouse,>50K
48,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
31,9th,Male,Husband,Married-civ-spouse,<=50K
53,Bachelors,Male,Husband,Married-civ-spouse,<=50K
24,Bachelors,Male,Husband,Married-civ-spouse,<=50K
49,HS-grad,Female,Unmarried,Separated,<=50K
25,HS-grad,Male,Not-in-family,Never-married,<=50K
