age,education,marital-status,relationship,sex,income
39,Bachelors,Never-married,<NULL>,Male,<=50K
50,Bachelors,<NULL>,Husband,<NULL>,<NULL>
38,HS-grad,Divorced,<NULL>,Male,<=50K
53,11th,Married-civ-spouse,Husband,Male,<=50K
28,Bachelors,<NULL>,<NULL>,Female,<NULL>
37,Masters,<NULL>,Wife,<NULL>,<NULL>
49,9th,Married-spouse-absent,Not-in-family,Female,<=50K
52,<NULL>,Married-civ-spouse,<NULL>,<NULL>,<NULL>
<NULL>,Masters,Never-married,Not-in-family,Female,>50K
42,Bachelors,Married-civ-spouse,<NULL>,Male,<NULL>
37,Some-college,<NULL>,<NULL>,Male,<NULL>
30,Bachelors,Married-civ-spouse,<NULL>,Male,>50K
23,Bachelors,Never-married,Own-child,<NULL>,<NULL>
32,Assoc-acdm,<NULL>,<NULL>,Male,<=50K
40,<NULL>,Married-civ-spouse,Husband,Male,<NULL>
34,7th-8th,Married-civ-spouse,Husband,<NULL>,<NULL>
25,HS-grad,Never-married,Own-child,Male,<NULL>
32,<NULL>,<NULL>,Unmarried,Male,<=50K
38,<NULL>,Married-civ-spouse,Husband,Male,<=50K
43,Masters,Divorced,<NULL>,<NULL>,<NULL>
40,Doctorate,Married-civ-spouse,Husband,<NULL>,>50K
<NULL>,<NULL>,Separated,Unmarried,Female,<=50K
35,9th,Married-civ-spouse,Husband,Male,<NULL>
43,<NULL>,<NULL>,Husband,Male,<=50K
59,HS-grad,<NULL>,Unmarried,Female,<NULL>
56,<NULL>,<NULL>,Husband,Male,<NULL>
19,HS-grad,Never-married,Own-child,<NULL>,<=50K
54,Some-college,Married-civ-spouse,<NULL>,Male,<NULL>
39,HS-grad,Divorced,Not-in-family,<NULL>,<=50K
49,HS-grad,Married-civ-spouse,<NULL>,<NULL>,<=50K
23,<NULL>,Never-married,<NULL>,Male,<NULL>
<NULL>,Some-college,Never-married,Own-child,<NULL>,<NULL>
45,Bachelors,<NULL>,Own-child,<NULL>,<=50K
<NULL>,Some-college,Married-civ-spouse,Own-child,Male,<NULL>
<NULL>,Some-college,Married-civ-spouse,<NULL>,<NULL>,<=50K
<NULL>,11th,Never-married,Unmarried,Male,<NULL>
21,Some-college,Never-married,Own-child,Male,<=50K
19,HS-grad,Married-AF-spouse,Wife,<NULL>,<=50K
<NULL>,<NULL>,Married-civ-spouse,Husband,<NULL>,>50K
<NULL>,Assoc-acdm,<NULL>,Husband,<NULL>,<=50K
31,9th,<NULL>,Husband,Male,<=50K
53,Bachelors,Married-civ-spouse,Husband,<NULL>,<NULL>
24,Bachelors,Married-civ-spouse,Husband,Male,<=50K
49,<NULL>,Separated,Unmarried,<NULL>,<=50K
25,HS-grad,Never-married,Not-in-family,Male,<NULL>
57,Bachelors,Married-civ-spouse,Husband,<NULL>,>50K
53,HS-grad,Married-civ-spouse,Husband,Male,<NULL>
44,Masters,Divorced,Unmarried,Female,<NULL>
41,<NULL>,Married-civ-spouse,Husband,Male,<NULL>
29,Assoc-voc,Never-married,Not-in-family,<NULL>,<=50K
25,<NULL>,Married-civ-spouse,<NULL>,Female,<NULL>
18,HS-grad,Never-married,<NULL>,Female,<NULL>
47,Prof-school,Married-civ-spouse,Wife,<NULL>,>50K
50,Bachelors,Divorced,Not-in-family,Male,>50K
47,HS-grad,<NULL>,<NULL>,<NULL>,<NULL>
43,<NULL>,Married-civ-spouse,Husband,<NULL>,<NULL>
46,5th-6th,Married-civ-spouse,Husband,Male,<NULL>
35,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
<NULL>,HS-grad,Married-civ-spouse,<NULL>,Male,<NULL>
30,HS-grad,<NULL>,Husband,<NULL>,<=50K
30,Bachelors,Married-civ-spouse,<NULL>,Male,<=50K
32,7th-8th,Married-spouse-absent,Not-in-family,<NULL>,<=50K
48,<NULL>,Married-civ-spouse,Husband,Male,<NULL>
42,Doctorate,Married-civ-spouse,Husband,Male,>50K
29,Some-college,Divorced,Not-in-family,Male,<NULL>
36,HS-grad,Married-civ-spouse,Husband,Male,<=50K
28,Some-college,Divorced,Not-in-family,Female,<=50K
53,HS-grad,Married-civ-spouse,Wife,<NULL>,<NULL>
<NULL>,Some-college,<NULL>,Husband,<NULL>,<NULL>
25,<NULL>,Never-married,Own-child,Male,<=50K
19,Some-college,Never-married,Own-child,<NULL>,<NULL>
31,Bachelors,<NULL>,Own-child,Female,<=50K
29,<NULL>,Married-civ-spouse,<NULL>,Male,<NULL>
23,<NULL>,Never-married,Not-in-family,Male,<NULL>
79,Some-college,<NULL>,Other-relative,Male,<=50K
27,HS-grad,Never-married,Own-child,<NULL>,<=50K
40,<NULL>,Married-civ-spouse,Husband,Male,<=50K
<NULL>,<NULL>,<NULL>,Husband,Male,<NULL>
18,11th,Never-married,Own-child,<NULL>,<=50K
31,7th-8th,<NULL>,Husband,Male,<NULL>
18,<NULL>,Never-married,Not-in-family,<NULL>,<=50K
52,Bachelors,Married-civ-spouse,<NULL>,Male,<=50K
46,HS-grad,<NULL>,Wife,<NULL>,<NULL>
59,HS-grad,Married-civ-spouse,Husband,<NULL>,<NULL>
44,<NULL>,Divorced,Not-in-family,Female,>50K
53,HS-grad,<NULL>,Own-child,Female,<=50K
49,HS-grad,Married-civ-spouse,Husband,Male,>50K
<NULL>,<NULL>,Married-civ-spouse,<NULL>,Male,<=50K
30,9th,Never-married,Not-in-family,Male,<NULL>
43,Doctorate,Never-married,<NULL>,<NULL>,<NULL>
57,Assoc-voc,Married-civ-spouse,Husband,<NULL>,<=50K
37,Some-college,Divorced,Unmarried,<NULL>,<=50K
28,<NULL>,Divorced,Unmarried,<NULL>,<=50K
30,HS-grad,Married-civ-spouse,Wife,Female,<=50K
<NULL>,Bachelors,Married-civ-spouse,<NULL>,Male,>50K
29,<NULL>,Never-married,Not-in-family,<NULL>,<NULL>
48,Doctorate,<NULL>,<NULL>,Male,>50K
37,Some-college,<NULL>,Husband,<NULL>,>50K
48,<NULL>,<NULL>,Unmarried,<NULL>,<=50K
32,HS-grad,Never-married,Own-child,<NULL>,<=50K
76,Masters,Married-civ-spouse,Husband,Male,<NULL>
<NULL>,<NULL>,Married-civ-spouse,Husband,Male,>50K
47,Masters,Never-married,Not-in-family,<NULL>,<NULL>
<NULL>,Some-college,Never-married,Own-child,<NULL>,<=50K
29,HS-grad,Never-married,Not-in-family,<NULL>,<=50K
32,HS-grad,Married-civ-spouse,Husband,<NULL>,<NULL>
17,10th,Never-married,<NULL>,<NULL>,<NULL>
<NULL>,11th,Never-married,<NULL>,Male,<=50K
31,HS-grad,<NULL>,Not-in-family,<NULL>,<=50K
42,HS-grad,Married-civ-spouse,Husband,<NULL>,<NULL>
<NULL>,Bachelors,<NULL>,Other-relative,<NULL>,<NULL>
38,Prof-school,<NULL>,Husband,<NULL>,<NULL>
<NULL>,HS-grad,<NULL>,Husband,Male,>50K
28,Some-college,Married-civ-spouse,Wife,<NULL>,<=50K
36,HS-grad,Never-married,Own-child,Female,<=50K
53,<NULL>,Married-civ-spouse,Husband,Male,<NULL>
56,<NULL>,Married-civ-spouse,<NULL>,<NULL>,<=50K
<NULL>,<NULL>,Married-civ-spouse,Husband,Male,<NULL>
<NULL>,Some-college,<NULL>,<NULL>,<NULL>,<NULL>
22,<NULL>,Never-married,Not-in-family,Male,<NULL>
21,Some-college,Never-married,Own-child,<NULL>,<=50K
40,Bachelors,Married-civ-spouse,Husband,Male,<=50K
30,Bachelors,Never-married,Own-child,<NULL>,<=50K
29,Bachelors,Married-civ-spouse,Husband,Male,>50K
19,Some-college,Never-married,Own-child,Male,<NULL>
47,Bachelors,<NULL>,Wife,Female,>50K
20,Some-college,Never-married,<NULL>,Female,<=50K
31,<NULL>,Married-civ-spouse,Husband,Male,<NULL>
35,HS-grad,Married-civ-spouse,Husband,Male,<NULL>
39,<NULL>,<NULL>,Not-in-family,<NULL>,<NULL>
28,<NULL>,Never-married,Not-in-family,Female,<=50K
24,HS-grad,Never-married,Not-in-family,Female,<NULL>
38,HS-grad,Married-civ-spouse,<NULL>,<NULL>,<NULL>
<NULL>,Bachelors,Married-civ-spouse,<NULL>,<NULL>,<NULL>
46,Assoc-acdm,Divorced,<NULL>,<NULL>,<NULL>
38,Masters,<NULL>,<NULL>,<NULL>,<NULL>
43,<NULL>,Married-civ-spouse,Husband,Male,<=50K
<NULL>,Assoc-voc,<NULL>,Wife,<NULL>,<=50K
20,Some-college,Never-married,Own-child,<NULL>,<NULL>
49,Some-college,Married-civ-spouse,Husband,Male,<NULL>
61,HS-grad,Married-civ-spouse,<NULL>,Male,<NULL>
27,Some-college,<NULL>,<NULL>,Female,<=50K
19,<NULL>,Never-married,Own-child,Male,<NULL>
45,Assoc-voc,Never-married,Not-in-family,<NULL>,<NULL>
70,Some-college,Never-married,<NULL>,<NULL>,<NULL>
31,HS-grad,Never-married,Unmarried,<NULL>,<=50K
22,<NULL>,<NULL>,Husband,<NULL>,<=50K
36,<NULL>,<NULL>,<NULL>,<NULL>,<=50K
64,11th,<NULL>,Husband,<NULL>,<=50K
43,<NULL>,Divorced,Not-in-family,<NULL>,<NULL>
47,Some-college,Divorced,Unmarried,Female,<=50K
34,HS-grad,Never-married,Not-in-family,Female,<NULL>
33,<NULL>,Never-married,Other-relative,Female,<=50K
21,<NULL>,Never-married,Own-child,Male,<=50K
52,HS-grad,<NULL>,Not-in-family,<NULL>,<NULL>
48,<NULL>,Married-civ-spouse,Husband,Male,<NULL>
23,<NULL>,Never-married,<NULL>,<NULL>,<NULL>
71,<NULL>,Separated,Unmarried,<NULL>,<=50K
29,HS-grad,Divorced,<NULL>,<NULL>,<=50K
42,<NULL>,Separated,Other-relative,Male,<=50K
<NULL>,<NULL>,Divorced,<NULL>,Female,<NULL>
25,HS-grad,Never-married,<NULL>,Female,<NULL>
44,Masters,Divorced,Unmarried,<NULL>,<NULL>
<NULL>,HS-grad,<NULL>,Not-in-family,Female,<=50K
45,<NULL>,Married-civ-spouse,Husband,<NULL>,>50K
36,Some-college,<NULL>,Unmarried,<NULL>,<=50K
39,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
46,Masters,Widowed,Unmarried,<NULL>,<=50K
18,<NULL>,<NULL>,Own-child,<NULL>,<=50K
66,<NULL>,Widowed,Not-in-family,<NULL>,<=50K
27,<NULL>,Never-married,Not-in-family,Male,<=50K
28,HS-grad,<NULL>,Husband,Male,<=50K
51,Some-college,Married-civ-spouse,Husband,<NULL>,>50K
27,<NULL>,<NULL>,Not-in-family,<NULL>,<NULL>
28,Bachelors,Married-civ-spouse,Husband,Male,<NULL>
27,HS-grad,Married-spouse-absent,Unmarried,<NULL>,<NULL>
21,<NULL>,Never-married,Own-child,<NULL>,<NULL>
34,HS-grad,Never-married,<NULL>,<NULL>,<NULL>
18,HS-grad,Never-married,Own-child,<NULL>,<=50K
33,<NULL>,Married-civ-spouse,Husband,Male,<=50K
44,Some-college,<NULL>,Husband,Male,<NULL>
43,Some-college,Divorced,Not-in-family,Female,<NULL>
30,Some-college,Never-married,Not-in-family,Male,<=50K
40,7th-8th,Married-civ-spouse,Husband,<NULL>,>50K
<NULL>,Some-college,Married-civ-spouse,<NULL>,Male,>50K
<NULL>,HS-grad,Married-civ-spouse,Husband,Male,<=50K
41,Bachelors,Divorced,Not-in-family,<NULL>,<NULL>
53,Bachelors,Divorced,Not-in-family,Female,<NULL>
31,<NULL>,<NULL>,Wife,<NULL>,<=50K
58,Doctorate,Married-civ-spouse,Husband,Male,>50K
38,Some-college,<NULL>,Not-in-family,Female,<NULL>
24,Some-college,Married-civ-spouse,Husband,<NULL>,<=50K
<NULL>,<NULL>,Married-civ-spouse,Husband,Male,<=50K
47,Some-college,Married-civ-spouse,Husband,Male,<=50K
<NULL>,<NULL>,Married-civ-spouse,Husband,<NULL>,<=50K
23,5th-6th,Married-civ-spouse,Other-relative,<NULL>,<NULL>
36,Some-college,<NULL>,Not-in-family,Male,<NULL>
<NULL>,Masters,Never-married,Not-in-family,Female,>50K
35,Masters,<NULL>,Other-relative,Male,>50K
24,<NULL>,Never-married,Not-in-family,<NULL>,<=50K
26,Masters,<NULL>,Not-in-family,Female,<=50K
19,HS-grad,Never-married,<NULL>,<NULL>,<=50K
51,Bachelors,Married-civ-spouse,Husband,Male,<NULL>
42,<NULL>,<NULL>,<NULL>,Female,<=50K
37,<NULL>,Divorced,Unmarried,<NULL>,<NULL>
18,<NULL>,<NULL>,<NULL>,Female,<=50K
36,Bachelors,Married-civ-spouse,Husband,<NULL>,>50K
35,HS-grad,<NULL>,<NULL>,Male,<=50K
<NULL>,<NULL>,Married-civ-spouse,Wife,Female,>50K
17,11th,<NULL>,Own-child,Female,<NULL>
44,<NULL>,Married-civ-spouse,<NULL>,<NULL>,<=50K
37,HS-grad,<NULL>,Husband,Male,>50K
35,<NULL>,Never-married,Not-in-family,<NULL>,<NULL>
60,HS-grad,Married-civ-spouse,Husband,<NULL>,<=50K
54,7th-8th,Married-civ-spouse,Husband,Male,>50K
37,<NULL>,Never-married,Not-in-family,Male,>50K
50,<NULL>,<NULL>,Not-in-family,<NULL>,<NULL>
38,<NULL>,Married-civ-spouse,Husband,Male,<=50K
45,Bachelors,Married-civ-spouse,Husband,<NULL>,<=50K
25,10th,Never-married,<NULL>,Male,<=50K
<NULL>,<NULL>,Married-civ-spouse,Husband,<NULL>,<=50K
64,1st-4th,Divorced,Not-in-family,<NULL>,<=50K
90,HS-grad,Never-married,Not-in-family,Male,<=50K
54,HS-grad,Married-civ-spouse,Husband,Male,<=50K
53,Preschool,Never-married,Not-in-family,<NULL>,<NULL>
18,<NULL>,Never-married,Own-child,Female,<=50K
60,10th,Divorced,Not-in-family,Female,<=50K
66,HS-grad,Married-civ-spouse,Husband,Male,<NULL>
75,<NULL>,<NULL>,Not-in-family,Female,<NULL>
65,<NULL>,Divorced,<NULL>,Female,<=50K
35,11th,Separated,Not-in-family,<NULL>,<NULL>
41,HS-grad,Divorced,Unmarried,Female,<NULL>
25,Some-college,Never-married,Not-in-family,<NULL>,<=50K
33,Some-college,Divorced,Other-relative,<NULL>,<=50K
28,<NULL>,Never-married,Not-in-family,<NULL>,<NULL>
59,HS-grad,<NULL>,Husband,Male,<NULL>
40,Some-college,<NULL>,<NULL>,<NULL>,<=50K
41,<NULL>,Married-civ-spouse,<NULL>,Male,<NULL>
38,Masters,Married-civ-spouse,Husband,Male,>50K
23,<NULL>,Never-married,Own-child,Male,<NULL>
40,Bachelors,Married-civ-spouse,Husband,<NULL>,>50K
<NULL>,HS-grad,Married-civ-spouse,Wife,<NULL>,<=50K
<NULL>,Assoc-acdm,Married-civ-spouse,Husband,<NULL>,<NULL>
20,<NULL>,Never-married,Own-child,Male,<NULL>
38,Some-college,Divorced,Not-in-family,<NULL>,<=50K
56,HS-grad,Married-civ-spouse,Husband,Male,<NULL>
58,<NULL>,Married-civ-spouse,Husband,Male,>50K
32,HS-grad,Never-married,<NULL>,Female,<NULL>
40,<NULL>,Married-civ-spouse,Husband,Male,>50K
45,<NULL>,Married-civ-spouse,<NULL>,<NULL>,<NULL>
41,<NULL>,Married-civ-spouse,<NULL>,<NULL>,>50K
42,Bachelors,Married-civ-spouse,<NULL>,<NULL>,<NULL>
59,<NULL>,Widowed,Unmarried,<NULL>,<=50K
19,Some-college,Never-married,Own-child,Male,<=50K
58,Some-college,Never-married,Not-in-family,Male,<NULL>
42,<NULL>,Married-civ-spouse,<NULL>,<NULL>,<NULL>
20,HS-grad,Never-married,Own-child,<NULL>,<NULL>
32,HS-grad,<NULL>,Not-in-family,<NULL>,<=50K
45,Assoc-voc,Widowed,<NULL>,Female,<=50K
50,7th-8th,<NULL>,Not-in-family,<NULL>,<NULL>
36,Bachelors,Divorced,Own-child,Female,<=50K
45,HS-grad,Married-civ-spouse,Husband,<NULL>,<NULL>
17,11th,Never-married,Own-child,<NULL>,<NULL>
59,<NULL>,Married-civ-spouse,Husband,Male,<=50K
<NULL>,<NULL>,Married-civ-spouse,<NULL>,Male,<NULL>
37,Some-college,<NULL>,Husband,Male,<NULL>
19,<NULL>,Never-married,Own-child,Male,<=50K
<NULL>,<NULL>,Married-civ-spouse,<NULL>,<NULL>,<NULL>
33,Bachelors,Never-married,Not-in-family,<NULL>,<NULL>
33,HS-grad,Married-civ-spouse,<NULL>,<NULL>,>50K
61,HS-grad,Married-civ-spouse,Husband,<NULL>,<NULL>
17,9th,Never-married,Own-child,Male,<=50K
50,Masters,Married-civ-spouse,Husband,<NULL>,<NULL>
27,Masters,<NULL>,<NULL>,<NULL>,<=50K
30,HS-grad,<NULL>,Own-child,Female,<NULL>
43,<NULL>,<NULL>,Husband,<NULL>,<=50K
<NULL>,Some-college,Married-civ-spouse,Husband,Male,>50K
35,<NULL>,Never-married,Not-in-family,Female,<NULL>
25,Some-college,Never-married,Own-child,Female,<NULL>
24,Some-college,Married-civ-spouse,Wife,<NULL>,>50K
22,<NULL>,Never-married,Not-in-family,<NULL>,<=50K
42,Some-college,Married-civ-spouse,<NULL>,Male,>50K
34,Assoc-acdm,Divorced,Unmarried,<NULL>,<NULL>
60,Bachelors,Divorced,Not-in-family,<NULL>,<NULL>
21,HS-grad,Never-married,Own-child,<NULL>,<NULL>
57,<NULL>,Married-civ-spouse,Husband,Male,<NULL>
41,Prof-school,Married-civ-spouse,Husband,<NULL>,>50K
50,Some-college,Divorced,Not-in-family,Male,<=50K
