age,education,marital-status,relationship,sex,income
41, Assoc-acdm, Divorced, Husband, Male, <=50K
45, 7th-8th, Never-married, Husband, Female, >50K
40, Assoc-acdm, Divorced, Other-relative, Male, <=50K
39, 1st-4th, Never-married, Own-child, Female, >50K
33, Bachelors, Divorced, Not-in-family, Male, <=50K
44, Some-college, Married-civ-spouse, Husband, Male, <=50K
34, Assoc-acdm, Married-civ-spouse, Not-in-family, Male, <=50K
54, 11th, Divorced, Unmarried, Male, <=50K
66, Bachelors, Divorced, Not-in-family, Female, <=50K
33, Some-college, Married-civ-spouse, Husband, Male, <=50K
53, Masters, Divorced, Other-relative, Male, <=50K
37, Some-college, Married-civ-spouse, Own-child, Male, >50K
39, 5th-6th, Never-married, Husband, Female, <=50K
59, Some-college, Married-civ-spouse, Husband, Female, <=50K
19, Some-college, Never-married, Husband, Male, <=50K
21, Bachelors, Married-civ-spouse, Own-child, Female, <=50K
20, Bachelors, Never-married, Husband, Female, <=50K
53, 10th, Married-civ-spouse, Not-in-family, Male, >50K
49, HS-grad, Married-civ-spouse, Other-relative, Female, <=50K
56, HS-grad, Never-married, Husband, Female, <=50K
69, HS-grad, Never-married, Not-in-family, Male, >50K
52, Assoc-voc, Divorced, Husband, Male, <=50K
38, Assoc-voc, Never-married, Husband, Male, <=50K
48, Some-college, Married-civ-spouse, Husband, Female, <=50K
22, Some-college, Divorced, Husband, Male, >50K
42, HS-grad, Never-married, Not-in-family, Male, <=50K
22, HS-grad, Divorced, Unmarried, Female, <=50K
63, Some-college, Never-married, Husband, Male, <=50K
38, HS-grad, Married-civ-spouse, Own-child, Male, <=50K
35, Masters, Married-civ-spouse, Husband, Male, <=50K
29, HS-grad, Married-civ-spouse, Own-child, Female, <=50K
49, Bachelors, Married-civ-spouse, Wife, Male, >50K
32, HS-grad, Divorced, Other-relative, Male, <=50K
41, HS-grad, Married-civ-spouse, Husband, Male, >50K
19, HS-grad, Married-civ-spouse, Husband, Male, >50K
38, Some-college, Never-married, Unmarried, Male, >50K
41, Prof-school, Married-civ-spouse, Not-in-family, Female, >50K
40, Bachelors, Married-civ-spouse, Husband, Male, <=50K
63, Bachelors, Never-married, Not-in-family, Male, <=50K
44, Bachelors, Married-civ-spouse, Not-in-family, Male, <=50K
31, Assoc-voc, Divorced, Husband, Male, <=50K
33, Some-college, Never-married, Husband, Female, <=50K
45, Some-college, Never-married, Husband, Female, <=50K
17, Some-college, Married-civ-spouse, Husband, Male, <=50K
43, Bachelors, Never-married, Not-in-family, Female, >50K
45, Some-college, Divorced, Wife, Male, <=50K
24, Assoc-acdm, Never-married, Husband, Male, >50K
22, Some-college, Married-civ-spouse, Husband, Female, >50K
28, Some-college, Separated, Not-in-family, Male, <=50K
35, Assoc-acdm, Never-married, Husband, Male, >50K
41, Bachelors, Divorced, Not-in-family, Male, >50K
33, Assoc-acdm, Never-married, Wife, Female, >50K
72, HS-grad, Married-civ-spouse, Not-in-family, Male, >50K
21, Masters, Married-civ-spouse, Husband, Male, <=50K
26, HS-grad, Married-civ-spouse, Husband, Male, <=50K
24, HS-grad, Married-civ-spouse, Husband, Female, <=50K
42, HS-grad, Never-married, Husband, Male, <=50K
29, HS-grad, Married-civ-spouse, Husband, Female, <=50K
37, HS-grad, Never-married, Not-in-family, Male, <=50K
26, Assoc-voc, Married-civ-spouse, Own-child, Female, <=50K
23, Some-college, Married-civ-spouse, Husband, Male, >50K
22, 10th, Never-married, Husband, Male, <=50K
46, Bachelors, Never-married, Husband, Male, <=50K
22, 10th, Married-civ-spouse, Husband, Female, >50K
26, Bachelors, Married-civ-spouse, Own-child, Male, <=50K
33, Assoc-voc, Never-married, Husband, Male, >50K
52, HS-grad, Married-civ-spouse, Husband, Male, <=50K
22, HS-grad, Married-civ-spouse, Not-in-family, Male, <=50K
51, Some-college, Never-married, Husband, Female, <=50K
21, 9th, Married-civ-spouse, Unmarried, Male, <=50K
65, HS-grad, Married-civ-spouse, Not-in-family, Female, >50K
35, Some-college, Never-married, Unmarried, Male, <=50K
70, Some-college, Never-married, Husband, Male, <=50K
41, HS-grad, Married-civ-spouse, Husband, Male, >50K
47, Some-college, Widowed, Other-relative, Female, <=50K
17, Some-college, Never-married, Own-child, Male, >50K
30, 5th-6th, Never-married, Not-in-family, Female, <=50K
23, Assoc-acdm, Never-married, Unmarried, Male, <=50K
31, HS-grad, Never-married, Husband, Female, <=50K
23, HS-grad, Married-civ-spouse, Husband, Male, >50K
31, Bachelors, Never-married, Husband, Male, <=50K
34, Bachelors, Married-civ-spouse, Husband, Male, <=50K
18, HS-grad, Married-civ-spouse, Husband, Male, >50K
43, Bachelors, Never-married, Husband, Male, >50K
41, Some-college, Married-civ-spouse, Not-in-family, Male, <=50K
28, Bachelors, Married-civ-spouse, Husband, Female, <=50K
38, Some-college, Never-married, Other-relative, Male, <=50K
23, Assoc-voc, Married-civ-spouse, Not-in-family, Male, >50K
42, Some-college, Never-married, Wife, Male, <=50K
62, HS-grad, Married-civ-spouse, Not-in-family, Male, >50K
31, Some-college, Married-civ-spouse, Own-child, Male, <=50K
44, HS-grad, Married-civ-spouse, Unmarried, Male, <=50K
22, HS-grad, Married-civ-spouse, Husband, Male, <=50K
44, HS-grad, Married-civ-spouse, Unmarried, Male, <=50K
31, Some-college, Never-married, Not-in-family, Male, <=50K
27, Some-college, Divorced, Unmarried, Male, <=50K
41, Bachelors, Married-civ-spouse, Husband, Male, <=50K
17, Prof-school, Never-married, Husband, Male, >50K
52, Some-college, Married-civ-spouse, Husband, Female, <=50K
18, HS-grad, Never-married, Husband, Male, <=50K
44, HS-grad, Never-married, Own-child, Male, <=50K
31, Bachelors, Divorced, Husband, Female, <=50K
47, Assoc-acdm, Married-civ-spouse, Husband, Male, <=50K
