ID,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30330.0,90.0,,, 12th,9.0, Divorced,,, White, Female,,,36.0,ssjItPaLDjmeftUwcszuSOY,
,,,292090.0, 5th-6th,, Married-civ-spouse,, Own-child, White,,5546.0,,30.0,ALWxcrrAtkplEovAQRdlvMV,
,75.0,,90412.0,,13.0, Never-married, Craft-repair, Wife, White,,14279.0,,46.0,QZF,
6631.0,59.0,,154508.0, Prof-school,10.0, Married-civ-spouse,, Unmarried,, Male,64.0,1799.0,25.0,QyThfIuYYGZU,
16259.0,87.0, Private,291352.0, Assoc-acdm,9.0,,, Not-in-family, White, Male,,,34.0,fAaKve,
25253.0,26.0, Private,149808.0,,9.0, Never-married, Transport-moving,, White,,,22.0,20.0,xxOtIfxxUzy,
,30.0,,,,7.0, Married-civ-spouse,,, White,,938.0,,41.0,hZMQLBbDjXxAZaXQfQHTDcQ,
16343.0,70.0,,80242.0, 1st-4th,9.0, Married-civ-spouse, Transport-moving, Own-child, White,,312.0,,22.0,cYATDx,
,71.0, Local-gov,,,10.0,,, Unmarried, White,,924.0,,41.0,yFhbenTqUl, <=50K
,39.0, Private,84030.0, HS-grad,9.0, Never-married,, Not-in-family, White,,,,34.0,PKvmVhyfnIvoAkGJslYyLWl, <=50K
