StatusExistingAcc,DurationMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,AgeBinary
11,6,34,43,1169,65,75,4,93,101,4,121,67,143,152,2,173,1,192,201,1,other
12,48,32,43,5951,61,73,2,92,101,2,121,22,143,152,1,173,1,191,201,2,young
14,12,34,46,2096,61,74,2,93,101,3,121,49,143,152,1,172,2,191,201,1,other
11,42,32,42,7882,61,74,2,93,103,4,122,45,143,153,1,173,2,191,201,1,other
11,24,33,40,4870,61,73,3,93,101,4,124,53,143,153,2,173,2,191,201,2,other
14,36,32,46,9055,65,73,2,93,101,4,124,35,143,153,1,172,2,192,201,1,other
14,24,32,42,2835,63,75,3,93,101,4,122,53,143,152,1,173,1,191,201,1,other
12,36,32,41,6948,61,73,2,93,101,2,123,35,143,151,1,174,1,192,201,1,other
14,12,32,43,3059,64,74,2,91,101,4,121,61,143,152,1,172,1,191,201,1,other
12,30,34,40,5234,61,71,4,94,101,2,123,28,143,152,2,174,1,191,201,2,other
12,12,32,40,1295,61,72,3,92,101,1,123,25,143,151,1,173,1,191,201,2,young
11,48,32,49,4308,61,72,3,92,101,4,122,24,143,151,1,173,1,191,201,2,young
12,12,32,43,1567,61,73,1,92,101,1,123,22,143,152,1,173,1,192,201,1,young
11,24,34,40,1199,61,75,4,93,101,4,123,60,143,152,2,172,1,191,201,2,other
11,15,32,40,1403,61,73,2,92,101,4,123,28,143,151,1,173,1,191,201,1,other
11,24,32,43,1282,62,73,4,92,101,2,123,32,143,152,1,172,1,191,201,2,other
14,24,34,43,2424,65,75,4,93,101,4,122,53,143,152,2,173,1,191,201,1,other
11,30,30,49,8072,65,72,2,93,101,3,123,25,141,152,3,173,1,191,201,1,young
12,24,32,41,12579,61,75,4,92,101,2,124,44,143,153,1,174,1,192,201,2,other
14,24,32,43,3430,63,75,3,93,101,2,123,31,143,152,1,173,2,192,201,1,other
14,9,34,40,2134,61,73,4,93,101,4,123,48,143,152,3,173,1,192,201,1,other
11,6,32,43,2647,63,73,2,93,101,3,121,44,143,151,1,173,2,191,201,1,other
11,10,34,40,2241,61,72,1,93,101,3,121,48,143,151,2,172,2,191,202,1,other
12,12,34,41,1804,62,72,3,93,101,4,122,44,143,152,1,173,1,191,201,1,other
14,10,34,42,2069,65,73,2,94,101,1,123,26,143,152,2,173,1,191,202,1,other
11,6,32,42,1374,61,73,1,93,101,2,121,36,141,152,1,172,1,192,201,1,other
14,6,30,43,426,61,75,4,94,101,4,123,39,143,152,1,172,1,191,201,1,other
13,12,31,43,409,64,73,3,92,101,3,121,42,143,151,2,173,1,191,201,1,other
12,7,32,43,2415,61,73,3,93,103,2,121,34,143,152,1,173,1,191,201,1,other
11,60,33,49,6836,61,75,3,93,101,4,124,63,143,152,2,173,1,192,201,2,other
12,18,32,49,1913,64,72,3,94,101,3,121,36,141,152,1,173,1,192,201,1,other
11,24,32,42,4020,61,73,2,93,101,2,123,27,142,152,1,173,1,191,201,1,other
12,18,32,40,5866,62,73,2,93,101,2,123,30,143,152,2,173,1,192,201,1,other
14,12,34,49,1264,65,75,4,93,101,4,124,57,143,151,1,172,1,191,201,1,other
13,12,32,42,1474,61,72,4,92,101,1,122,33,141,152,1,174,1,192,201,1,other
12,45,34,43,4746,61,72,4,93,101,2,122,25,143,152,2,172,1,191,201,2,young
14,48,34,46,6110,61,73,1,93,101,3,124,31,141,153,1,173,1,192,201,1,other
13,18,32,43,2100,61,73,4,93,102,2,121,37,142,152,1,173,1,191,201,2,other
13,10,32,44,1225,61,73,2,93,101,2,123,37,143,152,1,173,1,192,201,1,other
12,9,32,43,458,61,73,4,93,101,3,121,24,143,152,1,173,1,191,201,1,young
14,30,32,43,2333,63,75,4,93,101,2,123,30,141,152,1,174,1,191,201,1,other
12,12,32,43,1158,63,73,3,91,101,1,123,26,143,152,1,173,1,192,201,1,other
12,18,33,45,6204,61,73,2,93,101,4,121,44,143,152,1,172,2,192,201,1,other
11,30,34,41,6187,62,74,1,94,101,4,123,24,143,151,2,173,1,191,201,1,young
11,48,34,41,6143,61,75,4,92,101,4,124,58,142,153,2,172,1,191,201,2,other
14,11,34,40,1393,61,72,4,92,101,4,123,35,143,152,2,174,1,191,201,1,other
14,36,32,43,2299,63,75,4,93,101,4,123,39,143,152,1,173,1,191,201,1,other
11,6,32,41,1352,63,71,1,92,101,2,122,23,143,151,1,171,1,192,201,1,young
14,11,34,40,7228,61,73,1,93,101,4,122,39,143,152,2,172,1,191,201,1,other
14,12,32,43,2073,62,73,4,92,102,2,121,28,143,152,1,173,1,191,201,1,other
12,24,33,42,2333,65,72,4,93,101,2,122,29,141,152,1,172,1,191,201,1,other
12,27,33,41,5965,61,75,1,93,101,2,123,30,143,152,2,174,1,192,201,1,other
14,12,32,43,1262,61,73,3,93,101,2,123,25,143,152,1,173,1,191,201,1,young
14,18,32,41,3378,65,73,2,93,101,1,122,31,143,152,1,173,1,192,201,1,other
12,36,33,40,2225,61,75,4,93,101,4,124,57,141,153,2,173,1,192,201,2,other
14,6,31,40,783,65,73,1,93,103,2,121,26,142,152,1,172,2,191,201,1,other
12,12,32,43,6468,65,71,2,93,101,1,124,52,143,152,1,174,1,192,201,2,other
14,36,34,43,9566,61,73,2,92,101,2,123,31,142,152,2,173,1,191,201,1,other
13,18,32,40,1961,61,75,3,92,101,2,123,23,143,152,1,174,1,191,201,1,young
11,36,34,42,6229,61,72,4,92,102,4,124,23,143,151,2,172,1,192,201,2,young
12,9,32,49,1391,61,73,2,94,101,1,121,27,141,152,1,173,1,192,201,1,other
12,15,34,43,1537,65,75,4,93,103,4,121,50,143,152,2,173,1,192,201,1,other
12,36,30,49,1953,61,75,4,93,101,4,124,61,143,153,1,174,1,192,201,2,other
12,48,30,49,14421,61,73,2,93,101,2,123,25,143,152,1,173,1,192,201,2,young
14,24,32,43,3181,61,72,4,92,101,4,122,26,143,152,1,173,1,192,201,1,other
14,27,32,45,5190,65,75,4,93,101,4,122,48,143,152,4,173,2,192,201,1,other
14,12,32,43,2171,61,72,2,92,101,2,123,29,141,152,1,173,1,191,201,1,other
12,12,32,40,1007,64,73,4,94,101,1,121,22,143,152,1,173,1,191,201,1,young
14,36,32,46,1819,61,73,4,93,101,4,124,37,142,153,1,173,1,192,201,2,other
14,36,32,43,2394,65,73,4,92,101,4,123,25,143,152,1,173,1,191,201,1,young
14,36,32,41,8133,61,73,1,92,101,2,122,30,141,152,1,173,1,191,201,1,other
14,7,34,43,730,65,75,4,93,101,2,122,46,143,151,2,172,1,192,201,1,other
11,8,34,410,1164,61,75,3,93,101,4,124,51,141,153,2,174,2,192,201,1,other
12,42,34,49,5954,61,74,2,92,101,1,121,41,141,152,2,172,1,191,201,1,other
11,36,32,46,1977,65,75,4,93,101,4,124,40,143,152,1,174,1,192,201,2,other
11,12,34,41,1526,61,75,4,93,101,4,124,66,143,153,2,174,1,191,201,1,other
11,42,32,43,3965,61,72,4,93,101,3,123,34,143,152,1,173,1,191,201,2,other
12,11,33,43,4771,61,74,2,93,101,4,122,51,143,152,1,173,1,191,201,1,other
14,54,30,41,9436,65,73,2,93,101,2,122,39,143,152,1,172,2,191,201,1,other
12,30,32,42,3832,61,72,2,94,101,1,122,22,143,152,1,173,1,191,201,1,young
14,24,32,43,5943,65,72,1,92,101,1,123,44,143,152,2,173,1,192,201,2,other
14,15,32,43,1213,63,75,4,93,101,3,122,47,142,152,1,173,1,192,201,1,other
14,18,32,49,1568,62,73,3,92,101,4,122,24,143,151,1,172,1,191,201,1,young
11,24,32,410,1755,61,75,4,92,103,4,121,58,143,152,1,172,1,192,201,1,other
11,10,32,43,2315,61,75,3,93,101,4,121,52,143,152,1,172,1,191,201,1,other
14,12,34,49,1412,61,73,4,92,103,2,121,29,143,152,2,174,1,192,201,1,other
12,18,34,42,1295,61,72,4,92,101,1,122,27,143,152,2,173,1,191,201,1,other
12,36,32,46,12612,62,73,1,93,101,4,124,47,143,153,1,173,2,192,201,2,other
11,18,32,40,2249,62,74,4,93,101,3,123,30,143,152,1,174,2,192,201,1,other
11,12,30,45,1108,61,74,4,93,101,3,121,28,143,152,2,173,1,191,201,2,other
14,12,34,43,618,61,75,4,93,101,4,121,56,143,152,1,173,1,191,201,1,other
11,12,34,41,1409,61,75,4,93,101,3,121,54,143,152,1,173,1,191,201,1,other
14,12,34,43,797,65,75,4,92,101,3,122,33,141,152,1,172,2,191,201,2,other
13,24,34,42,3617,65,75,4,93,102,4,124,20,143,151,2,173,1,191,201,1,young
12,12,32,40,1318,64,75,4,93,101,4,121,54,143,152,1,173,1,192,201,1,other
12,54,30,49,15945,61,72,3,93,101,4,124,58,143,151,1,173,1,192,201,2,other
14,12,34,46,2012,65,74,4,92,101,2,123,61,143,152,1,173,1,191,201,1,other
12,18,32,49,2622,62,73,4,93,101,4,123,34,143,152,1,173,1,191,201,1,other
12,36,34,43,2337,61,75,4,93,101,4,121,36,143,152,1,173,1,191,201,1,other
12,20,33,41,7057,65,74,3,93,101,4,122,36,141,151,2,174,2,192,201,1,other
14,24,32,40,1469,62,75,4,94,101,4,121,41,143,151,1,172,1,191,201,1,other
12,36,32,43,2323,61,74,4,93,101,4,123,24,143,151,1,173,1,191,201,1,young
14,6,33,43,932,61,73,3,92,101,2,121,24,143,152,1,173,1,191,201,1,young
12,9,34,42,1919,61,74,4,93,101,3,123,35,143,151,1,173,1,192,201,1,other
14,12,32,41,2445,65,72,2,94,101,4,123,26,143,151,1,173,1,192,201,1,other
12,24,34,410,11938,61,73,2,93,102,3,123,39,143,152,2,174,2,192,201,2,other
14,18,31,40,6458,61,75,2,93,101,4,124,39,141,152,2,174,2,192,201,2,other
12,12,32,40,6078,61,74,2,93,101,2,123,32,143,152,1,173,1,191,201,1,other
11,24,32,42,7721,65,72,1,92,101,2,122,30,143,152,1,173,1,192,202,1,other
12,14,32,49,1410,63,75,1,94,101,2,121,35,143,152,1,173,1,192,201,1,other
12,6,33,49,1449,62,75,1,91,101,2,123,31,141,152,2,173,2,191,201,1,other
13,15,32,46,392,61,72,4,92,101,4,122,23,143,151,1,173,1,192,201,1,young
12,18,32,40,6260,61,74,3,93,101,3,121,28,143,151,1,172,1,191,201,1,other
14,36,34,40,7855,61,73,4,92,101,2,121,25,142,152,2,173,1,192,201,2,young
11,12,32,43,1680,63,75,3,94,101,1,121,35,143,152,1,173,1,191,201,1,other
14,48,34,43,3578,65,75,4,93,101,1,121,47,143,152,1,173,1,192,201,1,other
11,42,32,43,7174,65,74,4,92,101,3,123,30,143,152,1,174,1,192,201,2,other
11,10,34,42,2132,65,72,2,92,102,3,121,27,143,151,2,173,1,191,202,1,other
11,33,34,42,4281,63,73,1,92,101,4,123,23,143,152,2,173,1,191,201,2,young
12,12,34,40,2366,63,74,3,91,101,3,123,36,143,152,1,174,1,192,201,1,other
11,21,32,43,1835,61,73,3,92,101,2,121,25,143,152,2,173,1,192,201,2,young
14,24,34,41,3868,61,75,4,92,101,2,123,41,143,151,2,174,1,192,201,1,other
14,12,32,42,1768,61,73,3,93,101,2,121,24,143,151,1,172,1,191,201,1,young
13,10,34,40,781,61,75,4,93,101,4,124,63,143,153,2,173,1,192,201,1,other
12,18,32,42,1924,65,72,4,92,101,3,121,27,143,151,1,173,1,191,201,2,other
11,12,34,40,2121,61,73,4,93,101,2,122,30,143,152,2,173,1,191,201,1,other
11,12,32,43,701,61,73,4,94,101,2,121,40,143,152,1,172,1,191,201,1,other
12,12,32,45,639,61,73,4,93,101,2,123,30,143,152,1,173,1,191,201,2,other
12,12,34,41,1860,61,71,4,93,101,2,123,34,143,152,2,174,1,192,201,1,other
11,12,34,40,3499,61,73,3,92,102,2,121,29,143,152,2,173,1,191,201,2,other
12,48,32,40,8487,65,74,1,92,101,2,123,24,143,152,1,173,1,191,201,1,young
11,36,33,46,6887,61,73,4,93,101,3,122,29,142,152,1,173,1,192,201,2,other
14,15,32,42,2708,61,72,2,93,101,3,122,27,141,152,2,172,1,191,201,1,other
14,18,32,42,1984,61,73,4,93,101,4,124,47,141,153,2,173,1,191,201,1,other
14,60,32,43,10144,62,74,2,92,101,4,121,21,143,152,1,173,1,192,201,1,young
14,12,34,43,1240,65,75,4,92,101,2,121,38,143,152,2,173,1,192,201,1,other
14,27,33,41,8613,64,73,2,93,101,2,123,27,143,152,2,173,1,191,201,1,other
12,12,32,43,766,63,73,4,93,101,3,121,66,143,152,1,172,1,191,201,2,other
12,15,34,43,2728,65,74,4,93,103,2,121,35,141,152,3,173,1,192,201,1,other
13,12,32,43,1881,61,73,2,92,101,2,123,44,143,151,1,172,1,192,201,1,other
13,6,32,40,709,64,72,2,94,101,2,121,27,143,152,1,171,1,191,202,1,other
12,36,32,43,4795,61,72,4,92,101,1,124,30,143,152,1,174,1,192,201,1,other
11,27,32,43,3416,61,73,3,93,101,2,123,27,143,152,1,174,1,191,201,1,other
11,18,32,42,2462,61,73,2,93,101,2,123,22,143,152,1,173,1,191,201,2,young
14,21,34,42,2288,61,72,4,92,101,4,122,23,143,152,1,173,1,192,201,1,young
12,48,31,49,3566,62,74,4,93,101,2,123,30,143,152,1,173,1,191,201,1,other
11,6,34,40,860,61,75,1,92,101,4,124,39,143,152,2,173,1,192,201,1,other
14,12,34,40,682,62,74,4,92,101,3,123,51,143,152,2,173,1,192,201,1,other
11,36,34,42,5371,61,73,3,93,103,2,122,28,143,152,2,173,1,191,201,1,other
14,18,34,43,1582,64,75,4,93,101,4,123,46,143,152,2,173,1,191,201,1,other
14,6,32,43,1346,62,75,2,93,101,4,124,42,141,153,1,173,2,192,201,1,other
14,10,32,43,1924,61,73,1,93,101,4,122,38,143,152,1,173,1,192,202,1,other
13,36,32,43,5848,61,73,4,93,101,1,123,24,143,152,1,173,1,191,201,1,young
12,24,34,41,7758,64,75,2,92,101,4,124,29,143,151,1,173,1,191,201,1,other
12,24,33,49,6967,62,74,4,93,101,4,123,36,143,151,1,174,1,192,201,1,other
11,12,32,42,1282,61,73,2,92,101,4,123,20,143,151,1,173,1,191,201,2,young
11,9,34,45,1288,62,75,3,93,103,4,121,48,143,152,2,173,2,191,202,1,other
11,12,31,48,339,61,75,4,94,101,1,123,45,141,152,1,172,1,191,201,1,other
12,24,32,40,3512,62,74,2,93,101,3,123,38,141,152,2,173,1,192,201,1,other
14,6,34,43,1898,65,73,1,93,101,2,121,34,143,152,2,172,2,191,201,1,other
14,24,34,43,2872,62,75,3,93,101,4,121,36,143,152,1,173,2,192,201,1,other
14,18,34,40,1055,61,72,4,92,101,1,122,30,143,152,2,173,1,191,201,1,other
14,15,32,44,1262,63,74,4,93,101,3,122,36,143,152,2,173,1,192,201,1,other
12,10,32,40,7308,61,71,2,93,101,4,124,70,141,153,1,174,1,192,201,1,other
14,36,32,40,909,63,75,4,93,101,4,122,36,143,152,1,173,1,191,201,1,other
14,6,32,42,2978,63,73,1,93,101,2,123,32,143,152,1,173,1,192,201,1,other
11,18,32,42,1131,61,71,4,92,101,2,123,33,143,152,1,173,1,191,201,2,other
12,11,32,42,1577,64,72,4,92,101,1,121,20,143,152,1,173,1,191,201,1,young
