sex,age,race,decile_score,priors_count,c_charge_degree,r_charge_degree,is_violent_recid,v_decile_score,v_score_text,score_text
Male,69,Other,1,0,F,O,0,1,Low,Low
Male,31,Caucasian,5,0,O,O,0,2,Low,Medium
Male,34,African-American,3,0,F,F,1,1,Low,Low
Male,24,African-American,4,4,F,M,0,3,Low,Low
Male,23,African-American,8,1,F,O,0,6,Medium,High
Male,43,Other,1,2,F,O,0,1,Low,Low
Male,44,Other,1,0,M,O,0,1,Low,Low
Male,41,Caucasian,6,14,F,F,0,2,Low,Medium
Male,43,Other,4,3,F,O,0,3,Low,Low
Female,39,Caucasian,1,0,M,O,0,1,Low,Low
Male,20,Caucasian,10,0,F,O,0,9,High,High
Female,26,Caucasian,5,0,F,O,0,3,Low,Medium
Male,21,Caucasian,3,1,F,M,1,5,Medium,Low
Male,27,Caucasian,4,0,F,O,0,4,Low,Low
Male,23,African-American,6,3,M,M,0,4,Low,Medium
Female,37,Caucasian,1,0,M,O,0,1,Low,Low
Male,22,Caucasian,3,0,M,O,0,5,Medium,Low
Male,41,African-American,4,0,F,O,0,2,Low,Low
Female,47,Caucasian,1,1,F,F,0,1,Low,Low
Male,31,African-American,3,7,F,M,0,2,Low,Low
Male,37,Hispanic,1,0,M,O,0,1,Low,Low
Male,25,African-American,10,3,F,O,0,9,High,High
Male,31,Caucasian,5,6,F,F,1,4,Low,Medium
Male,31,Caucasian,3,5,F,F,0,2,Low,Low
Male,64,African-American,6,13,F,F,0,3,Low,Medium
Male,21,African-American,9,1,F,M,0,9,High,High
Male,27,Caucasian,2,0,M,M,0,3,Low,Low
Female,21,Caucasian,4,0,F,O,0,5,Medium,Low
Male,24,African-American,-1,2,F,M,0,6,Medium,
Male,24,Hispanic,4,1,F,M,0,5,Medium,Low
Male,42,Caucasian,3,1,F,O,0,1,Low,Low
Male,43,Caucasian,1,1,M,O,0,2,Low,Low
Male,32,Other,3,0,M,O,0,4,Low,Low
Female,54,African-American,9,0,F,O,0,5,Medium,High
Male,44,African-American,6,8,M,O,0,4,Low,Medium
Female,49,Caucasian,1,0,O,O,0,1,Low,Low
Male,27,African-American,3,8,F,M,1,3,Low,Low
Female,36,Caucasian,3,3,F,O,0,1,Low,Low
Male,26,African-American,7,5,F,M,0,7,Medium,Medium
Male,33,African-American,10,0,F,F,1,6,Medium,High
Male,30,Caucasian,9,9,F,F,0,10,High,High
Male,32,African-American,8,4,F,M,0,3,Low,High
Male,63,African-American,1,0,M,O,0,1,Low,Low
Male,27,Hispanic,3,2,F,O,0,3,Low,Low
Male,55,Caucasian,1,0,F,O,0,1,Low,Low
