age,race,sex,hours-per-week,native-country
39,White,Male,40,United-States
50,White,Male,13,United-States
38,White,Male,40,United-States
53,Black,Male,40,United-States
28,Black,Female,40,Cuba
37,White,Female,40,United-States
49,Black,Female,16,Jamaica
52,White,Male,45,United-States
31,White,Female,50,United-States
42,White,Male,40,United-States
37,Black,Male,80,United-States
30,Asian-Pac-Islander,Male,40,India
23,White,Female,30,United-States
32,Black,Male,50,United-States
40,Asian-Pac-Islander,Male,40,?
34,Amer-Indian-Eskimo,Male,45,Mexico
25,White,Male,35,United-States
32,White,Male,40,United-States
38,White,Male,50,United-States
43,White,Female,45,United-States
40,White,Male,60,United-States
54,Black,Female,20,United-States
35,Black,Male,40,United-States
43,White,Male,40,United-States
59,White,Female,40,United-States
56,White,Male,40,United-States
19,White,Male,40,United-States
54,Asian-Pac-Islander,Male,60,South
39,White,Male,80,United-States
49,White,Male,40,United-States
23,White,Male,52,United-States
20,Black,Male,44,United-States
45,White,Male,40,United-States
30,White,Male,40,United-States
22,Black,Male,15,United-States
48,White,Male,40,Puerto-Rico
21,White,Male,40,United-States
19,White,Female,25,United-States
31,White,Male,38,?
48,White,Male,40,United-States
31,White,Male,43,United-States
53,White,Male,40,United-States
24,White,Male,50,United-States
49,White,Female,40,United-States
25,White,Male,35,United-States
57,Black,Male,40,United-States
53,White,Male,38,United-States
44,White,Female,40,United-States
41,White,Male,40,United-States
29,White,Male,43,United-States
25,Other,Female,40,United-States
18,White,Female,30,?
47,White,Female,60,Honduras
50,White,Male,55,United-States
47,White,Male,60,United-States
43,White,Male,40,United-States
46,White,Male,40,Mexico
35,White,Male,40,Puerto-Rico
41,White,Male,48,United-States
30,White,Male,40,United-States
30,White,Male,40,United-States
32,White,Male,40,?
48,White,Male,40,United-States
42,White,Male,45,United-States
29,White,Male,58,United-States
36,White,Male,40,United-States
28,White,Female,40,United-States
53,White,Female,40,United-States
49,White,Male,50,United-States
25,White,Male,40,United-States
19,White,Male,32,United-States
31,Black,Female,40,United-States
29,White,Male,70,United-States
23,White,Male,40,United-States
79,White,Male,20,United-States
27,White,Male,40,Mexico
40,White,Male,40,United-States
67,White,Male,2,United-States
18,White,Female,22,United-States
31,White,Male,40,United-States
18,White,Male,30,United-States
52,White,Male,40,Cuba
46,White,Female,40,United-States
59,White,Male,48,United-States
44,White,Female,40,United-States
53,White,Female,35,United-States
49,White,Male,40,United-States
33,White,Male,50,United-States
30,White,Male,40,United-States
43,White,Female,50,United-States
57,White,Male,40,United-States
37,White,Female,40,United-States
28,Black,Female,25,United-States
30,Asian-Pac-Islander,Female,35,?
34,White,Male,40,United-States
29,White,Male,50,United-States
48,White,Male,60,United-States
37,White,Male,48,United-States
48,White,Female,40,England
32,Black,Male,40,United-States
76,White,Male,40,United-States
44,White,Male,60,United-States
47,White,Female,50,United-States
20,White,Female,40,United-States
29,White,Male,40,United-States
32,White,Male,40,United-States
17,White,Female,32,United-States
30,White,Male,40,United-States
31,White,Female,40,United-States
42,White,Male,40,United-States
24,White,Male,40,United-States
38,White,Male,40,United-States
56,White,Male,50,Canada
28,White,Female,25,United-States
36,White,Female,40,United-States
53,White,Male,50,United-States
56,White,Male,50,United-States
49,Black,Male,40,United-States
55,White,Male,56,United-States
22,White,Male,41,United-States
21,White,Female,40,United-States
40,White,Male,60,United-States
30,Black,Male,40,Germany
29,White,Male,50,United-States
19,Black,Male,35,United-States
47,White,Female,40,United-States
20,White,Female,28,United-States
31,White,Male,40,United-States
35,White,Male,40,United-States
39,White,Male,40,United-States
